method,hz,GroupCount,mean_f1,sem_f1
predsArgmax,1,5,0.563797885756104,0.0372704439160028
predsArgmax,8,5,0.556685933434895,0.033160160007987
predsArgmax,16,5,0.547568713944951,0.0274985176159524
predsArgmax,32,5,0.536243773626757,0.0249749429367831
predsSum,1,5,0.550002662160886,0.0391689099787501
predsSum,8,5,0.545197955712771,0.0365596665280146
predsSum,16,5,0.539273694768139,0.033636169687375
predsSum,32,5,0.536915454657851,0.034188877510847
predsMax,1,5,0.541851255041939,0.0508431671730241
predsMax,8,5,0.534490518120727,0.0472170816695471
predsMax,16,5,0.531796146869371,0.039095925525542
predsMax,32,5,0.529612418062952,0.0424895535634481
predsBinArgmax,8,5,0.559883079497586,0.0457172559152338
predsBinArgmax,16,5,0.553143194980389,0.045425150469907
predsBinArgmax,32,5,0.547075845801134,0.0443630003525576
predsBinSum,8,5,0.546191684570466,0.0363417211442627
predsBinSum,16,5,0.540306865448295,0.0377689183472903
predsBinSum,32,5,0.536719491413548,0.0372638387073604
predsBinMax,8,5,0.548617035296616,0.0463819130573809
predsBinMax,16,5,0.552667977535327,0.0418247041818875
predsBinMax,32,5,0.538478662846369,0.0389957682044288
