specificity,accuracy,fpMinutes,recall,precision,f1,optIdx,optThres,k,method,hz
0.928987840763978,0.879544170276888,4.26333333333333,0.603410852713178,0.603410852713178,0.603410852713178,NaN,NaN,1,predsArgmax,32
0.974568350632102,0.929752439465125,1.72333333333333,0.425567238516879,0.597978227060653,0.497251859036534,NaN,NaN,2,predsArgmax,32
0.908886096789567,0.903498141864599,7.01,0.829253731343284,0.397766323024055,0.537642732726921,NaN,NaN,3,predsArgmax,32
0.884617074563909,0.8643688272222,8.75333333333333,0.659555555555556,0.361070559610706,0.466666666666667,NaN,NaN,4,predsArgmax,32
0.88857567526011,0.868019393068774,7.24666666666667,0.722965641952984,0.479031871555236,0.576246756990487,NaN,NaN,5,predsArgmax,32
0.980345344511687,0.900310792993031,1.18,0.453333333333333,0.805066079295154,0.580043642134497,29,0.725,1,predsSum,32
0.993654385360815,0.936393205637875,0.43,0.292197011621472,0.80365296803653,0.428571428571429,29,0.725,2,predsSum,32
0.93665785711191,0.926482468896429,4.87333333333333,0.786268656716418,0.473911478949262,0.591378536147283,27,0.675,3,predsSum,32
0.939979788215651,0.901595425646767,4.55333333333333,0.513333333333333,0.458151527171757,0.484175225319639,28,0.7,4,predsSum,32
0.930962021423812,0.894595079906626,4.49,0.637974683544304,0.56702025072324,0.600408441116406,28,0.7,5,predsSum,32
0.97240575204042,0.894000753437559,1.65666666666667,0.456124031007752,0.747459349593496,0.566531869824764,18,0.45,1,predsMax,32
0.984111367996458,0.927584026020961,1.07666666666667,0.291643608190371,0.62,0.396687993978171,18,0.45,2,predsMax,32
0.948009185043976,0.937792858296979,4,0.797014925373134,0.526627218934911,0.634204275534442,17,0.425,3,predsMax,32
0.921833120963135,0.888400175936663,5.93,0.550222222222222,0.410341398740471,0.4700968293146,17,0.425,4,predsMax,32
0.938701245451284,0.894909319446938,3.98666666666667,0.585895117540687,0.575284090909091,0.580541121662784,18,0.45,5,predsMax,32
0.966964632724446,0.895319269165568,1.98333333333333,0.495193798449612,0.728558394160584,0.589625253830534,NaN,NaN,1,predsBinArgmax,32
0.987112007477003,0.930249367546079,0.873333333333333,0.290536801328168,0.667090216010165,0.404780262143408,NaN,NaN,2,predsBinArgmax,32
0.95676097222824,0.944296332202294,3.32666666666667,0.772537313432836,0.56457242582897,0.652382152760272,NaN,NaN,3,predsBinArgmax,32
0.947053912737818,0.90651365508417,4.01666666666667,0.496444444444444,0.481050818260121,0.488626421697288,NaN,NaN,4,predsBinArgmax,32
0.935882322792271,0.89697432214042,4.17,0.622423146473779,0.57907133243607,0.599965138574168,NaN,NaN,5,predsBinArgmax,32
0.972683360168786,0.898003390469015,1.64,0.48093023255814,0.759177679882526,0.588838268792711,27,0.675,1,predsBinSum,32
0.991834325348025,0.934541019154319,0.553333333333333,0.289983397897067,0.759420289855072,0.419703644373248,27,0.675,2,predsBinSum,32
0.93717776526147,0.92688641137502,4.83333333333333,0.785074626865672,0.475587703435805,0.592342342342342,26,0.65,3,predsBinSum,32
0.941693396019157,0.901795353672678,4.42333333333333,0.498222222222222,0.457924836601307,0.477224350787569,27,0.675,4,predsBinSum,32
0.933370918968787,0.896749865325911,4.33333333333333,0.638336347197107,0.575856443719413,0.60548885077187,27,0.675,5,predsBinSum,32
0.972017100660707,0.895366359012997,1.68,0.467286821705426,0.749378418697166,0.57563025210084,18,0.45,1,predsBinMax,32
0.986767671798908,0.930746295627033,0.896666666666667,0.300498063087991,0.66871921182266,0.414662084765178,18,0.45,2,predsBinMax,32
0.946276157878775,0.936257876878333,4.13333333333333,0.798208955223881,0.518820333721381,0.628880526810912,17,0.425,3,predsBinMax,32
0.922316446241047,0.890639369826862,5.89333333333333,0.570222222222222,0.420517862995739,0.484059611394077,17,0.425,4,predsBinMax,32
0.93490851314643,0.894505297180822,4.23333333333333,0.609403254972875,0.570219966159052,0.589160839160839,18,0.45,5,predsBinMax,32
0.94031425240131,0.885712940290073,3.58333333333333,0.58077519379845,0.635345997286296,0.606836222258221,NaN,NaN,1,predsArgmax,16
0.978454424713464,0.93133357426816,1.46,0.401217487548423,0.623387790197764,0.488215488215488,NaN,NaN,2,predsArgmax,16
0.924440015597245,0.917272580384553,5.81333333333333,0.818507462686567,0.440128410914928,0.572442588726514,NaN,NaN,3,predsArgmax,16
0.905356122852498,0.878803630692951,7.18,0.610222222222222,0.389282676495605,0.475333217933183,NaN,NaN,4,predsArgmax,16
0.906206755163754,0.881082779673191,6.1,0.70379746835443,0.515360169491525,0.595016052591347,NaN,NaN,5,predsArgmax,16
0.982732774415635,0.900169523450744,1.03666666666667,0.43906976744186,0.819918934568616,0.5718901453958,29,0.725,1,predsSum,16
0.992129470214964,0.935805926996747,0.533333333333333,0.302158273381295,0.773371104815864,0.434540389972145,28,0.7,2,predsSum,16
0.93704778822408,0.927169171110034,4.84333333333333,0.791044776119403,0.476961843052556,0.595104423983831,26,0.65,3,predsSum,16
0.940023726877279,0.901955296093406,4.55,0.516888888888889,0.46004746835443,0.486814566764337,27,0.675,4,predsSum,16
0.930859515145303,0.895986712156581,4.49666666666667,0.649909584086799,0.57120152574698,0.608018947724581,27,0.675,5,predsSum,16
0.95991338626395,0.888161612356376,2.40666666666667,0.487441860465116,0.685265911072363,0.569668418191701,17,0.425,1,predsMax,16
0.97751979930149,0.924331405854716,1.52333333333333,0.32595462091865,0.563097514340344,0.412898703119523,17,0.425,2,predsMax,16
0.942766777869243,0.933632250767491,4.40333333333333,0.807761194029851,0.505983545250561,0.622212002759255,16,0.4,3,predsMax,16
0.934575332835362,0.896277340157543,4.96333333333333,0.508888888888889,0.434700075930144,0.468877968877969,17,0.425,4,predsMax,16
0.932243349905182,0.892440294487341,4.40666666666667,0.611573236889693,0.561234649850647,0.585323641398408,17,0.425,5,predsMax,16
0.969018932874355,0.897249952910153,1.86,0.496434108527132,0.74154701250579,0.594725111441308,NaN,NaN,1,predsBinArgmax,16
0.987554724777412,0.930565594506686,0.843333333333333,0.289429994465966,0.673969072164949,0.40495547812621,NaN,NaN,2,predsBinArgmax,16
0.958797279147351,0.94631604459525,3.17,0.774328358208955,0.576957295373665,0.661228651542187,NaN,NaN,3,predsBinArgmax,16
0.950876576299486,0.909992402735015,3.72666666666667,0.496444444444444,0.499776286353468,0.498104793756968,NaN,NaN,4,predsBinArgmax,16
0.939265029983086,0.899892260729036,3.95,0.622061482820977,0.592082616179002,0.606701940035273,NaN,NaN,5,predsBinArgmax,16
0.976847482094276,0.900310792993031,1.39,0.472868217054264,0.785272914521112,0.590284497774337,27,0.675,1,predsBinSum,16
0.992670569137685,0.934992771955186,0.496666666666667,0.286109573879358,0.776276276276276,0.4181156490093,27,0.675,2,predsBinSum,16
0.93574801785018,0.926199709161415,4.94333333333333,0.794626865671642,0.472992181947406,0.593005123635554,25,0.625,3,predsBinSum,16
0.950876576299486,0.908592906553641,3.72666666666667,0.480888888888889,0.491818181818182,0.486292134831461,27,0.675,4,predsBinSum,16
0.940443852185946,0.90177769797091,3.87333333333333,0.628933092224231,0.599448466046191,0.613836921990822,27,0.675,5,predsBinSum,16
0.976958525345622,0.897297042757581,1.38333333333333,0.452403100775194,0.77854855923159,0.572269072367131,18,0.45,1,predsBinMax,16
0.981553445816322,0.928487531622696,1.25,0.331488655229662,0.614989733059548,0.430780294857965,17,0.425,2,predsBinMax,16
0.959793769767341,0.947689449022459,3.09333333333333,0.78089552238806,0.584973166368515,0.668882638711327,17,0.425,3,predsBinMax,16
0.93839799639703,0.901395497620856,4.67333333333333,0.527111111111111,0.458268933539413,0.490285241835469,17,0.425,4,predsBinMax,16
