method,hz,GroupCount,mean_f1,sem_f1
predsArgmax,1,5,0.566982599700387,0.0182380923192211
predsArgmax,8,5,0.560128042022345,0.0165861691017303
predsArgmax,16,5,0.553172551173596,0.0207578941034408
predsArgmax,32,5,0.542853636637953,0.0250421477816844
predsSum,1,5,0.549503754636459,0.0206814197186341
predsSum,8,5,0.54567070744892,0.0183137266881629
predsSum,16,5,0.536364412644392,0.022164593586507
predsSum,32,5,0.535448183101016,0.0193381087144433
predsMax,1,5,0.537017693815751,0.0297816197711574
predsMax,8,5,0.532137239015612,0.0238707744612019
predsMax,16,5,0.532709991624698,0.0212175364083795
predsMax,32,5,0.527688947423253,0.0229964448586761
predsBinArgmax,8,5,0.561770088082694,0.0209391809048546
predsBinArgmax,16,5,0.556157682088786,0.0198681987633393
predsBinArgmax,32,5,0.550382328653887,0.0190487598134716
predsBinSum,8,5,0.542205933573933,0.0219437326705486
predsBinSum,16,5,0.536653438712791,0.0179863377951159
predsBinSum,32,5,0.524598791655438,0.0220819003754732
predsBinMax,8,5,0.545982808018103,0.0243272165273253
predsBinMax,16,5,0.54841208970497,0.0241565328560524
predsBinMax,32,5,0.537168399575596,0.0222541581584249
